msm_id,prb_id,hop,ip_addr,asn,country
88302907,26083,1,192.168.10.1,,
88302907,26083,2,85.145.240.1,50266,NL
88302907,26083,3,10.10.80.102,,
88302907,26083,4,10.226.4.8,,
88302907,26083,5,10.226.2.3,,
88302907,26083,6,81.95.2.10,201011,DE
88302907,26083,7,80.249.209.128,,NL
88302907,26083,8,81.95.2.38,201011,DE
88302907,26083,9,81.95.2.10,201011,DE
88302907,26083,10,91.135.161.162,39878,AT
88302907,34481,1,192.168.1.1,,
88302907,34481,2,10.190.1.50,,
88302907,34481,3,213.200.162.155,1257,SE
88302907,34481,4,91.129.12.2,1257,SE
88302907,34481,5,91.129.14.130,1257,SE
88302907,34481,6,130.244.200.5,1257,SE
88302907,34481,7,62.115.118.108,1299,SE
88302907,34481,8,62.115.138.105,1299,DE
88302907,34481,9,62.115.138.23,1299,AT
88302907,34481,10,62.115.114.183,1299,AT
88302907,34481,11,213.248.76.31,1299,AT
88302907,34481,12,91.135.161.162,39878,AT
88302907,12652,1,192.168.81.1,,
88302907,12652,2,50.35.80.1,20055,US
88302907,12652,3,64.52.96.4,20055,US
88302907,12652,4,137.83.81.212,20055,US
88302907,12652,5,137.83.81.92,20055,US
88302907,12652,6,,,
88302907,12652,7,76.74.79.9,3257,US
88302907,12652,8,141.136.110.190,3257,DE
88302907,12652,9,154.14.164.42,3257,DE
88302907,12652,10,91.135.161.162,39878,AT
88302907,13665,1,172.31.3.1,,
88302907,13665,2,213.251.96.1,6848,BE
88302907,13665,3,213.224.203.194,6848,BE
88302907,13665,4,,,
88302907,13665,5,213.46.162.9,6830,NL
88302907,13665,6,,,
88302907,13665,7,62.115.116.238,1299,FR
88302907,13665,8,62.115.123.12,1299,DE
88302907,13665,9,62.115.137.203,1299,AT
88302907,13665,10,62.115.114.185,1299,AT
88302907,13665,11,213.248.76.31,1299,AT
88302907,13665,12,91.135.161.162,39878,AT
88302907,19921,1,192.168.1.1,,
88302907,19921,2,94.180.131.252,41668,RU
88302907,19921,3,109.194.184.18,41668,RU
88302907,19921,4,62.115.145.221,1299,RU
88302907,19921,5,62.115.145.220,1299,RU
88302907,19921,6,62.115.143.24,1299,SE
88302907,19921,7,62.115.143.29,1299,DE
88302907,19921,8,62.115.137.203,1299,AT
88302907,19921,9,62.115.114.185,1299,AT
88302907,19921,10,213.248.76.31,1299,AT
88302907,19921,11,91.135.161.162,39878,AT
88302907,10195,1,192.168.20.1,,
88302907,10195,2,100.100.0.1,,
88302907,10195,3,123.176.118.145,38195,AU
88302907,10195,4,202.90.207.150,,AU
88302907,10195,5,172.21.110.38,,
88302907,10195,6,172.21.108.102,,
88302907,10195,7,172.21.108.103,,
88302907,10195,8,172.21.3.98,,
88302907,10195,9,172.21.3.79,,
88302907,10195,10,172.21.108.54,,
88302907,10195,11,103.200.13.252,,AU
88302907,10195,12,172.21.68.135,,
88302907,10195,13,172.21.16.21,,
88302907,10195,14,172.21.16.41,,
88302907,10195,15,172.21.60.55,,
88302907,10195,16,172.21.16.67,,
88302907,10195,17,63.217.25.225,3491,SG
88302907,10195,18,63.223.34.94,3491,SG
88302907,10195,19,63.216.144.42,3491,SG
88302907,10195,20,141.136.110.186,3257,DE
88302907,10195,21,154.14.164.42,3257,DE
88302907,10195,22,91.135.161.162,39878,AT
88302907,14341,1,192.168.168.1,,
88302907,14341,2,94.242.70.13,30764,CZ
88302907,14341,3,10.22.96.1,,
88302907,14341,4,10.11.34.121,,
88302907,14341,5,85.135.32.22,30764,CZ
88302907,14341,6,85.135.32.21,30764,CZ
88302907,14341,7,62.115.38.65,1299,CZ
88302907,14341,8,62.115.138.94,1299,AT
88302907,14341,9,62.115.114.185,1299,AT
88302907,14341,10,213.248.76.31,1299,AT
88302907,14341,11,91.135.161.162,39878,AT
88302907,14107,1,192.168.10.1,,
88302907,14107,2,172.16.11.190,,
88302907,14107,3,,,
88302907,14107,4,195.166.143.128,6871,GB
88302907,14107,5,62.6.204.225,2856,GB
88302907,14107,6,194.74.16.227,2856,GB
88302907,14107,7,166.49.214.194,5400,GB
88302907,14107,8,213.248.71.146,1299,GB
88302907,14107,9,62.115.140.70,1299,GB
88302907,14107,10,62.115.133.239,1299,FR
88302907,14107,11,62.115.122.139,1299,DE
88302907,14107,12,62.115.138.23,1299,AT
88302907,14107,13,62.115.114.183,1299,AT
88302907,14107,14,213.248.76.31,1299,AT
88302907,14107,15,91.135.161.162,39878,AT
88302907,16641,1,192.168.69.1,,
88302907,16641,2,157.131.132.164,46375,US
88302907,16641,3,23.93.53.42,46375,US
88302907,16641,4,,,
88302907,16641,5,,,
88302907,16641,6,,,
88302907,16641,7,,,
88302907,16641,8,,,
88302907,16641,255,91.135.161.162,39878,AT
88302907,14341,1,192.168.168.1,,
88302907,14341,2,94.242.70.13,30764,CZ
88302907,14341,3,10.22.96.1,,
88302907,14341,4,10.11.34.121,,
88302907,14341,5,85.135.32.22,30764,CZ
88302907,14341,6,85.135.32.21,30764,CZ
88302907,14341,7,62.115.38.65,1299,CZ
88302907,14341,8,62.115.138.94,1299,AT
88302907,14341,9,62.115.114.185,1299,AT
88302907,14341,10,213.248.76.31,1299,AT
88302907,14341,11,91.135.161.162,39878,AT
88302907,11985,1,192.168.1.1,,
88302907,11985,2,100.34.1.1,701,US
88302907,11985,3,,,
88302907,11985,4,,,
88302907,11985,5,,,
88302907,11985,6,,,
88302907,11985,7,62.115.139.247,1299,GB
88302907,11985,8,62.115.133.239,1299,FR
88302907,11985,9,62.115.122.139,1299,DE
88302907,11985,10,62.115.138.23,1299,AT
88302907,11985,11,62.115.114.183,1299,AT
88302907,11985,12,213.248.76.31,1299,AT
88302907,11985,13,91.135.161.162,39878,AT
88302907,21576,1,129.143.67.254,553,DE
88302907,21576,2,129.143.60.144,553,DE
88302907,21576,3,129.143.56.236,553,DE
88302907,21576,4,129.143.60.124,553,DE
88302907,21576,5,129.143.60.113,553,DE
88302907,21576,6,80.81.195.53,,DE
88302907,21576,7,91.135.161.162,39878,AT
88302907,19719,1,192.168.21.1,,
88302907,19719,2,146.228.17.100,1836,CH
88302907,19719,3,146.228.17.5,1836,CH
88302907,19719,4,146.228.2.101,1836,CH
88302907,19719,5,91.206.52.191,,CH
88302907,19719,6,81.95.2.38,201011,DE
88302907,19719,7,81.95.2.10,201011,DE
88302907,19719,8,91.135.161.162,39878,AT
88302907,50344,1,10.1.20.1,,
88302907,50344,2,,,
88302907,50344,3,65.23.162.254,32809,US
88302907,50344,4,,,
88302907,50344,5,,,
88302907,50344,6,,,
88302907,50344,7,,,
88302907,50344,8,10.98.0.21,,
88302907,50344,9,216.147.180.194,26794,US
88302907,50344,10,,,
88302907,50344,11,62.115.179.8,1299,US
88302907,50344,12,62.115.138.68,1299,US
88302907,50344,13,62.115.115.77,1299,US
88302907,50344,14,62.115.139.32,1299,US
88302907,50344,15,62.115.139.245,1299,GB
88302907,50344,16,62.115.135.25,1299,FR
88302907,50344,17,62.115.123.12,1299,DE
88302907,50344,18,62.115.137.203,1299,AT
